,geographic_name,site_type,longitude,latitude,geometry,date_mod,geo_database,google_maps,open_street_maps,aerial_photograph,cartographic_sheet,dictionary
69,lorena,locality,-75.726028,3.8558082,POINT Z (-75.726028 3.8558082 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
70,el brillante,locality,-75.7398071,3.8256736,POINT Z (-75.73980709999999 3.8256736 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
71,davis - janeiro,hamlet,-75.6833232,3.8237627,POINT Z (-75.6833232 3.8237627 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
72,vega chiquita,locality,-75.5937624,3.8062671,POINT Z (-75.5937624 3.8062671 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
73,el moral,locality,-75.5879546,3.8021592,POINT Z (-75.5879546 3.8021592 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
74,brisas san pablo ambeima,hamlet,-75.6443354,3.796017,POINT Z (-75.6443354 3.796017 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
75,el bosque,hamlet,-75.6091614,3.7848492,POINT Z (-75.6091614 3.7848492 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
76,san marcos,hamlet,-75.6624627,3.7793102,POINT Z (-75.66246270000001 3.7793102 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
77,san pablo hermosas,hamlet,-75.6344002,3.8206633,POINT Z (-75.6344002 3.8206633 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
78,los siuces,hamlet,-75.6050205,3.8186717,POINT Z (-75.60502049999999 3.8186717 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
79,el pando - el libano,hamlet,-75.6193204,3.8068973,POINT Z (-75.61932040000001 3.8068973 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
80,la virginia,hamlet,-75.6544023,3.8552163,POINT Z (-75.6544023 3.8552163 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
81,holanda - hermosas,hamlet,-75.624695,3.8390614,POINT Z (-75.624695 3.8390614 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
82,rio de janeiro,locality,-75.6528531,3.8411461,POINT Z (-75.6528531 3.8411461 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
83,la virginia,locality,-75.6384625,3.8498348,POINT Z (-75.6384625 3.8498348 0),2021-08-27T00:00:00+00:00,True,False,True,False,False,False
84,barcelona,locality,-75.6584193,3.8339508,POINT Z (-75.65841930000001 3.8339508 0),2021-08-27T00:00:00+00:00,True,False,True,False,False,False
85,la esperanza,locality,-75.6586908,3.8296065,POINT Z (-75.6586908 3.8296065 0),2021-08-27T00:00:00+00:00,True,False,True,False,False,False
86,virginia,locality,-75.6453144,3.8545583,POINT Z (-75.6453144 3.8545583 0),2021-08-27T00:00:00+00:00,True,False,True,False,False,False
87,argentina - hermosas,hamlet,-75.6181004,3.8620362,POINT Z (-75.6181004 3.8620362 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
88,san roque,hamlet,-75.5988751,3.8559564,POINT Z (-75.5988751 3.8559564 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
89,virginia - alta,hamlet,-75.6531822,3.8671274,POINT Z (-75.6531822 3.8671274 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
90,santa barbara,village,-75.5879083,3.836884,POINT Z (-75.5879083 3.836884 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
91,el recreo - sec. davis,hamlet,-75.647376,3.8316462,POINT Z (-75.64737599999999 3.8316462 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
92,el diamante,locality,-75.5159946,3.5576653,POINT Z (-75.5159946 3.5576653 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
93,la linea,locality,-75.5082645,3.5661958,POINT Z (-75.5082645 3.5661958 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
94,la soledad,locality,-75.5219441,3.5787717,POINT Z (-75.5219441 3.5787717 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
95,betania,locality,-75.5141531,3.5709807,POINT Z (-75.5141531 3.5709807 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
96,la violeta,locality,-75.515428,3.5623399,POINT Z (-75.515428 3.5623399 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
97,la sierra,locality,-75.5774722,3.5899623,POINT Z (-75.5774722 3.5899623 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
98,santa rita,locality,-75.5549493,3.5940702,POINT Z (-75.5549493 3.5940702 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
99,la lindosa,locality,-75.5688314,3.5760803,POINT Z (-75.56883139999999 3.5760803 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,True
100,araca mangas,locality,-75.4385721,3.5296463,POINT Z (-75.4385721 3.5296463 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
101,las delicias,locality,-75.4846892,3.5711224,POINT Z (-75.48468920000001 3.5711224 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
102,las cruces,locality,-75.4912053,3.6018612,POINT Z (-75.4912053 3.6018612 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
103,la granja,locality,-75.4914886,3.5762219,POINT Z (-75.4914886 3.5762219 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
104,irco,locality,-75.5565075,3.6446405,POINT Z (-75.5565075 3.6446405 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,True
105,el viento,locality,-75.547725,3.6381245,POINT Z (-75.547725 3.6381245 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,True
106,esc. buenos aires,school,-75.5741446,3.6846839,POINT Z (-75.5741446 3.6846839 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
107,altamira,locality,-75.547422,3.6666282,POINT Z (-75.547422 3.6666282 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
108,providencia,locality,-75.5786055,3.6654636,POINT Z (-75.57860549999999 3.6654636 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,False
109,la balsita,locality,-75.4686824,3.636283,POINT Z (-75.46868240000001 3.636283 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,True
110,tambillos,locality,-75.4448846,3.6287753,POINT Z (-75.44488459999999 3.6287753 0),2021-08-27T00:00:00+00:00,False,False,True,False,False,True
