,geographic_name,geometry,site_type,date_mod,dictionary,geo_database,google_maps,open_street_maps,aerial_photograph,cartographic_sheet,longitude,latitude
1795,La Laguna,POINT Z (-75.4863315481565 3.928716679311763 0),Laguna,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.4863315481565,3.928716679311763
1796,El Espejo,POINT Z (-75.48870677455237 3.931126749096127 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.48870677455237,3.9311267490961272
1797,El Maizal,POINT Z (-75.4892927632033 3.931908703447619 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.4892927632033,3.9319087034476192
1798,La Siberia,POINT Z (-75.48994256610557 3.932005468145813 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.48994256610557,3.9320054681458125
1799,El Retiro,POINT Z (-75.49304639551895 3.933076744060544 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.49304639551895,3.9330767440605436
1800,La Floresta,POINT Z (-75.4919972739645 3.927320601941596 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.4919972739645,3.9273206019415956
1801,Las Brisas,POINT Z (-75.48368267222796 3.927758781841672 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.48368267222796,3.9277587818416717
1802,Los Mangos,POINT Z (-75.49507162592533 3.933920579769902 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.49507162592533,3.9339205797699024
1803,El Triunfo,POINT Z (-75.49721907241832 3.936070017144779 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.49721907241832,3.9360700171447793
1804,La Reforma,POINT Z (-75.49604121838134 3.929441453225908 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.49604121838134,3.929441453225908
1805,El Descanso,POINT Z (-75.49573410269697 3.930306479135292 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.49573410269697,3.930306479135292
1806,El Porvenir,POINT Z (-75.47454571472394 3.935036417663041 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.47454571472394,3.9350364176630412
1807,La Primavera,POINT Z (-75.47609923784445 3.941395296426732 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.47609923784445,3.9413952964267316
1808,Sabaneta,POINT Z (-75.47741562017126 3.941898733397573 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.47741562017126,3.9418987333975735
1809,El Pensil,POINT Z (-75.47396685128989 3.93852805746811 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.47396685128989,3.9385280574681096
1810,Santa Librada,POINT Z (-75.4799360938366 3.943737674384737 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.4799360938366,3.9437376743847365
1811,El Diamante,POINT Z (-75.47219838515079 3.939623903120083 0),,2015-04-28T00:00:00+00:00,False,True,False,False,False,False,-75.47219838515079,3.9396239031200833
