,geographic_name,site_type,longitude,latitude,geometry,date_mod
71,Davis - Janeiro,hamlet,-75.6833232,3.8237627,POINT Z (-75.6833232 3.8237627 0),2021-08-27T00:00:00+00:00
72,Vega Chiquita,locality,-75.5937624,3.8062671,POINT Z (-75.5937624 3.8062671 0),2021-08-27T00:00:00+00:00
73,El Moral,locality,-75.5879546,3.8021592,POINT Z (-75.5879546 3.8021592 0),2021-08-27T00:00:00+00:00
74,Brisas San Pablo Ambeima,hamlet,-75.6443354,3.796017,POINT Z (-75.6443354 3.796017 0),2021-08-27T00:00:00+00:00
75,El Bosque,hamlet,-75.6091614,3.7848492,POINT Z (-75.6091614 3.7848492 0),2021-08-27T00:00:00+00:00
76,San Marcos,hamlet,-75.6624627,3.7793102,POINT Z (-75.66246270000001 3.7793102 0),2021-08-27T00:00:00+00:00
77,San Pablo Hermosas,hamlet,-75.6344002,3.8206633,POINT Z (-75.6344002 3.8206633 0),2021-08-27T00:00:00+00:00
78,Los SiUces,hamlet,-75.6050205,3.8186717,POINT Z (-75.60502049999999 3.8186717 0),2021-08-27T00:00:00+00:00
79,El Pando - El Libano,hamlet,-75.6193204,3.8068973,POINT Z (-75.61932040000001 3.8068973 0),2021-08-27T00:00:00+00:00
80,La Virginia,hamlet,-75.6544023,3.8552163,POINT Z (-75.6544023 3.8552163 0),2021-08-27T00:00:00+00:00
81,Holanda - Hermosas,hamlet,-75.624695,3.8390614,POINT Z (-75.624695 3.8390614 0),2021-08-27T00:00:00+00:00
82,Rio De Janeiro,locality,-75.6528531,3.8411461,POINT Z (-75.6528531 3.8411461 0),2021-08-27T00:00:00+00:00
83,La Virginia,locality,-75.6384625,3.8498348,POINT Z (-75.6384625 3.8498348 0),2021-08-27T00:00:00+00:00
84,Barcelona,locality,-75.6584193,3.8339508,POINT Z (-75.65841930000001 3.8339508 0),2021-08-27T00:00:00+00:00
85,La Esperanza,locality,-75.6586908,3.8296065,POINT Z (-75.6586908 3.8296065 0),2021-08-27T00:00:00+00:00
86,Virginia,locality,-75.6453144,3.8545583,POINT Z (-75.6453144 3.8545583 0),2021-08-27T00:00:00+00:00
87,Argentina - Hermosas,hamlet,-75.6181004,3.8620362,POINT Z (-75.6181004 3.8620362 0),2021-08-27T00:00:00+00:00
88,San Roque,hamlet,-75.5988751,3.8559564,POINT Z (-75.5988751 3.8559564 0),2021-08-27T00:00:00+00:00
89,Virginia - Alta,hamlet,-75.6531822,3.8671274,POINT Z (-75.6531822 3.8671274 0),2021-08-27T00:00:00+00:00
90,Santa Barbara,village,-75.5879083,3.836884,POINT Z (-75.5879083 3.836884 0),2021-08-27T00:00:00+00:00
91,El Recreo - Sec. Davis,hamlet,-75.647376,3.8316462,POINT Z (-75.64737599999999 3.8316462 0),2021-08-27T00:00:00+00:00
92,El Diamante,locality,-75.5159946,3.5576653,POINT Z (-75.5159946 3.5576653 0),2021-08-27T00:00:00+00:00
93,La Linea,locality,-75.5082645,3.5661958,POINT Z (-75.5082645 3.5661958 0),2021-08-27T00:00:00+00:00
94,La Soledad,locality,-75.5219441,3.5787717,POINT Z (-75.5219441 3.5787717 0),2021-08-27T00:00:00+00:00
95,Betania,locality,-75.5141531,3.5709807,POINT Z (-75.5141531 3.5709807 0),2021-08-27T00:00:00+00:00
96,La Violeta,locality,-75.515428,3.5623399,POINT Z (-75.515428 3.5623399 0),2021-08-27T00:00:00+00:00
97,La Sierra,locality,-75.5774722,3.5899623,POINT Z (-75.5774722 3.5899623 0),2021-08-27T00:00:00+00:00
98,Santa Rita,locality,-75.5549493,3.5940702,POINT Z (-75.5549493 3.5940702 0),2021-08-27T00:00:00+00:00
99,La Lindosa,locality,-75.5688314,3.5760803,POINT Z (-75.56883139999999 3.5760803 0),2021-08-27T00:00:00+00:00
100,Araca Mangas,locality,-75.4385721,3.5296463,POINT Z (-75.4385721 3.5296463 0),2021-08-27T00:00:00+00:00
101,Las Delicias,locality,-75.4846892,3.5711224,POINT Z (-75.48468920000001 3.5711224 0),2021-08-27T00:00:00+00:00
102,Las Cruces,locality,-75.4912053,3.6018612,POINT Z (-75.4912053 3.6018612 0),2021-08-27T00:00:00+00:00
103,La Granja,locality,-75.4914886,3.5762219,POINT Z (-75.4914886 3.5762219 0),2021-08-27T00:00:00+00:00
104,Irco,locality,-75.5565075,3.6446405,POINT Z (-75.5565075 3.6446405 0),2021-08-27T00:00:00+00:00
105,El Viento,locality,-75.547725,3.6381245,POINT Z (-75.547725 3.6381245 0),2021-08-27T00:00:00+00:00
106,Esc. Buenos Aires,school,-75.5741446,3.6846839,POINT Z (-75.5741446 3.6846839 0),2021-08-27T00:00:00+00:00
107,Altamira,locality,-75.547422,3.6666282,POINT Z (-75.547422 3.6666282 0),2021-08-27T00:00:00+00:00
108,Providencia,locality,-75.5786055,3.6654636,POINT Z (-75.57860549999999 3.6654636 0),2021-08-27T00:00:00+00:00
109,La Balsita,locality,-75.4686824,3.636283,POINT Z (-75.46868240000001 3.636283 0),2021-08-27T00:00:00+00:00
110,Tambillos,locality,-75.4448846,3.6287753,POINT Z (-75.44488459999999 3.6287753 0),2021-08-27T00:00:00+00:00
111,Buenos Aires,locality,-75.4836976,3.6165931,POINT Z (-75.4836976 3.6165931 0),2021-08-27T00:00:00+00:00
