	level_0	index	geographic_name	latitude	longitude	site_type
44	52	14	La CASONA TÍPICA	3.7252893	-75.48512629999999	restaurant
45	53	15	Restaurante Aquí Vuelvo	3.7239413	-75.4851139	restaurant
46	54	16	Chipega LA PARRILLA	3.7270127	-75.4848397	restaurant
47	55	17	LAS PICADAS DEL GORDO	3.7222153	-75.48422409999999	restaurant
48	57	19	Toka Producciones	3.727669499999999	-75.4890557	night_club
49	58	0	El garaje MTB	3.7248285	-75.4798156	bicycle_store
50	59	1	Almacen Ciclonovato	3.7245044	-75.4835174	bicycle_store
51	60	2	Campos Bike	3.724260199999999	-75.484036	bicycle_store
52	61	0	MR. COFFEE AND DRINKS	3.7267443	-75.48461499999999	cafe
53	62	1	Kawah Coffe	3.7216783	-75.4860896	cafe
54	63	2	Cafeteria Manis	3.7232438	-75.4851079	cafe
55	64	3	Omnilife Centro De Apoyo Chaparral	3.7264145	-75.4842476	cafe
56	65	4	Omnilife Centro De Apoyo Chaparral #2	3.7237262	-75.4841151	cafe
57	68	7	El Estanco J&D	3.7232683	-75.485565	cafe
58	70	9	Tienda Del Cafe	3.7247129	-75.485582	food
59	71	10	Diginet Cafe Internet	3.7244527	-75.4810986	point_of_interest
60	73	12	El Sarso Cafe y Hostal	3.7226864	-75.48830579999999	point_of_interest
61	74	13	Urbanizacion Villa Cafe	3.7194018	-75.497453	point_of_interest
62	75	14	Diginet - Cafe Internet	3.723827	-75.48397899999999	point_of_interest
63	76	15	Compras de Café de Santa Luisa	3.7196431	-75.49019	point_of_interest
64	77	16	COOPERATIVA DE CAFICULTORES DEL SUR DEL TOLIMA	3.724498699999999	-75.4857141	supermarket
65	78	17	SUPERMERCADO CAFISUR	3.7251792	-75.4851475	supermarket
66	81	0	Policia Chaparral	3.7257406	-75.48369	police
67	82	0	Cementerio	3.7247778	-75.4740961	cemetery
68	83	0	Iglesia De Castañal	3.7200463	-75.4758161	church
69	84	1	Iglesia Adventista del Séptimo Día Chaparral	3.7240077	-75.4866758	church
70	85	2	Iglesia Adventista Filadelfia	3.7251759	-75.481672	church
71	86	3	Iglesia Movimiento Misionero Mundial	3.7215413	-75.4759833	church
72	87	4	Salon Del Reino De Los Testigos De Jehova	3.7196659	-75.4883614	church
73	88	5	Iglesia Sagrado Corazon De Jesus	3.7303272	-75.4863987	church
74	89	6	IGLESIA MISIONERA SIMIENTE REAL DE DIOS	3.727891199999999	-75.46639449999999	church
75	90	7	Iglesia Pentecostal Unida De Colombia Segunda Sede Chaparral	3.726476	-75.474003	church
76	91	8	Christian Alliance Church	3.723484	-75.48297099999999	church
77	92	9	Iglesia De Dios Ministerial De Jesucristo Internacional	3.7215662	-75.4836538	church
78	93	10	Iglesia El Señor De Los Milagros	3.7186559	-75.4934774	church
79	94	11	CENTRO MISIONERO BETHESDA CHAPARRAL	3.724871799999999	-75.4817739	church
80	95	12	Iglesia Apostólica Jesucristo Justicia Nuestra	3.724062099999999	-75.4834448	church
81	96	13	Parroquia de Chaparral	3.7248523	-75.48467629999999	church
82	97	14	Capilla Municipal Del Cementerio	3.7247935	-75.4746443	church
83	98	0	Courthouse	3.7256443	-75.48435719999999	local_government_office
84	99	0	Sonreir	3.7216898	-75.4867821	dentist
85	100	0	Odontología Integral - Javier Rayo	3.7228306	-75.4870988	doctor
86	101	1	Dr. Adrián Lambraño Hernandez, Ortopedista y Traumatólogo	3.72417	-75.4853286	doctor
87	102	2	Centro Médico Y Diagnóstico LABCLINIC SAS	3.7215816	-75.4868484	health
88	103	0	Max Integral	3.7242045	-75.4840653	drugstore
89	104	1	Rebaja No. 1 Chaparral Parque Central	3.723603	-75.48500899999999	drugstore
90	105	2	DROGUERÍA CADENA & H	3.7213662	-75.4874481	pharmacy
91	106	3	Droguería CADENA & H	3.7263094	-75.4896821	pharmacy
92	107	4	La Casa De La Belleza	3.7242465	-75.4843089	pharmacy
93	108	5	Farmacenter Multidrogas JM	3.7266542	-75.48465569999999	pharmacy
94	109	6	Drogueria Romero Y M	3.7225261	-75.48629439999999	pharmacy
95	110	7	Farmacenter Farmasur m&p	3.7254238	-75.48499629999999	pharmacy
96	111	8	Drogas Copifam	3.7245686	-75.48569959999999	pharmacy
97	112	9	Droguería Shaday Farma Union	3.7242886	-75.4816106	pharmacy
98	113	10	Tolicampo	3.7223274	-75.4841007	pharmacy
99	114	0	ARTE FLORAL JOHANA'S	3.7235325	-75.4833041	florist
100	116	0	Nacional de Servicios Exequiales	3.7226259	-75.4860854	funeral_home
101	117	1	Funerales Pasion de Cristo	3.7253118	-75.4725186	funeral_home
102	118	2	Funeraria Inversiones y Planes de la Paz	3.7224776	-75.487241	funeral_home
103	119	3	Funerales La Verde Esperanza SAS	3.7247906	-75.4764526	funeral_home
104	120	4	Funeraria San Carlos	3.7241412	-75.4857729	funeral_home
105	121	0	Camp Gym	3.7215938	-75.4875271	gym
106	122	1	centro dereclusion	3.7235201	-75.49209669999999	gym
107	123	2	Pijao De Oro	3.725202	-75.4871326	gym
108	124	3	Centro Recreacional El Estadio	3.7213648	-75.4673926	point_of_interest
109	125	0	HOSPITAL SAN JUAN BAUTISTA	3.7269812	-75.48423550000001	hospital
110	127	0	Biblioteca municipal NAVES	3.7257028	-75.4871536	library
111	128	1	Biblioteca Dario Ortiz Videlez	3.7199645	-75.49270260000002	library
112	129	2	Ludoteca las Cabañas	3.717726399999999	-75.4904299	library
113	130	3	Biblioteca Publica Dario Echandia Olaya	3.7245458	-75.48100509999999	library
114	131	4	Biblioteca Publica Municipal	3.7214237	-75.4709649	library
115	132	0	HOTEL LOS TORRES	3.7244549	-75.4857001	lodging
116	133	1	HOTEL AMBEIMA	3.7234968	-75.4853931	lodging
117	134	0	Cementerio De Chaparral	3.724942	-75.4746184	museum
118	135	0	Plaza Central Parque de Los Presidentes	3.724492	-75.48513609999999	park
119	136	1	Periodistas Park	3.7209771	-75.4798206	park
120	137	0	Depósito De Ladrillos Y Parqueadero LANERCy	3.7254104	-75.47892209999999	parking
121	138	1	Parqueadero Montes	3.7217396	-75.4855803	parking
122	143	2	Drogueria Phama Drgsu	3.7233277	-75.48557269999999	pharmacy
123	149	8	Drogas El Progreso G.E #4	3.7266984	-75.4845704	pharmacy
124	150	9	Drogas la rebaja	3.723793999999999	-75.4851478	pharmacy
125	157	1	Bomberos de Chaparral	3.7225194	-75.4835583	fire_station
126	158	2	Empochaparral	3.7259996	-75.48514879999999	point_of_interest
127	159	3	Centro zonal bienestar familiar icbf chaparral	3.7199543	-75.4938374	point_of_interest
128	160	4	Cortolima Territorial Sur	3.723334399999999	-75.48515789999999	point_of_interest
129	162	1	ZONA T CHAPARRAL	3.7245268	-75.48301239999999	restaurant
130	164	3	Pollo Broasterwill	3.7199013	-75.4940517	restaurant
131	165	4	Restaurante El Buen Sazón	3.7248296	-75.483396	restaurant
132	167	6	Restaurante Royal Center	3.7194154	-75.4953254	restaurant
133	168	7	Restaurante Arroyabe	3.7240983	-75.48655260000001	restaurant
134	169	8	"Cowboy ""Fast Foods"""	3.7253773	-75.4867192	restaurant
135	170	9	MILLY PIZZA	3.7250929	-75.4868188	restaurant
136	171	10	Jálapeños	3.7253101	-75.4867404	restaurant
137	172	11	DELI AREPA	3.72473	-75.48689329999999	restaurant
138	173	12	Restaurante - Asadero Donde CF	3.7262857	-75.4627312	restaurant
139	174	13	Hotel Y Restaurante Donde Marleny	3.7237134	-75.48518	restaurant
140	175	14	Restaurante el Maná	3.724156	-75.48663119999999	restaurant
141	176	15	Comidas rapidas richi	3.7251595	-75.48672660000001	restaurant
142	177	16	Imperios Pizza	3.7242819	-75.482708	restaurant
143	178	17	Yheiss pizza	3.7295092	-75.4814209	restaurant
144	179	18	La Estación del Sabor	3.724099	-75.4866742	restaurant
145	180	19	Empanadas Del Camellón	3.724585199999999	-75.4774094	restaurant
146	181	0	Gabriela Mistral school	3.724579	-75.4804439	school
147	182	1	School Antonio Nariño	3.7262716	-75.4769754	school
148	183	2	Colegio Rayito De Luz	3.7201002	-75.4880955	school
149	184	3	Escuela Santa Luisa	3.7246884	-75.4866183	school
150	185	4	Institución Educativa Técnica Soledad Medina sede Antonia Santos	3.725119	-75.4890514	school
151	186	5	Institucion Educativa Tecnica Medalla Milagrosa	3.716995	-75.49021479999999	school
152	187	6	Universdiad del Tolima	3.721790399999999	-75.4822752	school
153	188	7	Institución Educativa Técnica Ambiental Soledad Medina Sede Principal	3.7199794	-75.4955239	secondary_school
154	189	8	Divine school child	3.7208803	-75.4875078	school
155	190	9	Colegio Sagrado Corazon De Jesus	3.7191376	-75.4963296	school
156	191	10	Institución Educativa Manuel Murillo Toro	3.7263492	-75.4708235	school
157	192	11	Institucion Educativa Medalla Milagrosa	3.7187107	-75.4982849	secondary_school
158	193	12	Colegio Manuel Murillo Toro	3.7196595	-75.4919347	secondary_school
159	194	13	Santa Iglesia Gnóstica cristiana universal samael aun WEOR	3.7252472	-75.4776375	school
160	195	14	Sede Andrés Rocha	3.7189047	-75.49717179999999	school
161	196	15	Cecontec-Chaparral	3.7250652	-75.4863012	point_of_interest
162	197	0	Rocío Rodríguez - Nails Spa & Make Up	3.7189307	-75.4946592	spa
163	198	1	Est. Servicio Terpel	3.7241401	-75.478042	gas_station
164	200	3	Terpel	3.7205115	-75.4907827	gas_station
165	201	4	Bajaj Grupo UMA	3.7243392	-75.4824514	point_of_interest
166	202	0	Totto Chaparral	3.724951	-75.483868	storage
167	203	1	Almacen Vizmar	3.723488499999999	-75.4853369	storage
168	204	2	Agropunto Sur Tolima	3.721591	-75.483572	storage
169	205	0	La Moneda	3.7253388	-75.4893562	grocery_or_supermarket
170	206	1	Tienda Luz Marina	3.72196	-75.4814249	grocery_or_supermarket
171	207	2	Merca max	3.7222899	-75.4851284	grocery_or_supermarket
172	208	3	Supermercados felipe Acuña#2	3.7275871	-75.4891265	grocery_or_supermarket
173	209	4	Shots Zone	3.7242405	-75.4841841	liquor_store
174	210	5	Almacen Duque	3.7227067	-75.4860984	home_goods_store
175	211	6	Surtimax	3.7248039	-75.48558369999999	grocery_or_supermarket
176	212	7	Tienda Donde pipe	3.7199218	-75.4983895	supermarket
177	213	8	Fleje Ya	3.7209633	-75.4896717	hardware_store
178	214	9	Santa Boutique	3.7236362	-75.48426669999999	clothing_store
179	215	10	Variedades Hogar La8	3.722156399999999	-75.4864721	furniture_store
180	216	11	Koaj basic	3.7252924	-75.4854697	point_of_interest
